icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
7502c4,MXD132  ,Malaysia,1775071753.0,1775071754,85.8718,20.1866,10058.4,False,260.48,135.8,0.0,,10591.8,4527,False,0
76cda2,SIA9303 ,Singapore,1775071752.0,1775071754,85.1273,20.5754,12496.8,False,264.28,131.29,0.33,,13083.54,4554,False,0
76cdb2,SIA328  ,Singapore,1775071742.0,1775071742,85.8268,17.9812,10972.8,False,239.72,314.74,0.0,,11559.54,2232,False,0
76cdb6,SIA301  ,Singapore,1775071744.0,1775071744,88.9159,18.9275,12496.8,False,263.01,134.76,0.0,,13022.58,4617,False,0
76cdac,SIA378  ,Singapore,1775071754.0,1775071754,85.9733,21.5426,10972.8,False,234.03,313.13,0.0,,11521.44,0161,False,0
780db1,CSN6038 ,China,1775071690.0,1775071693,93.8473,23.4135,11887.2,False,279.91,96.12,-0.33,,12428.22,4515,False,0
76cdaf,SIA312  ,Singapore,1775071749.0,1775071749,87.8272,18.2921,10363.2,False,242.27,315.17,0.0,,10927.08,0111,False,0
76cdc2,SIA305  ,Singapore,1775071633.0,1775071641,93.156,19.6466,10668.0,False,277.91,125.28,0.0,,11262.36,4611,False,0
8966ee,UAE9833 ,United Arab Emirates,1775071601.0,1775071601,84.8663,20.1229,9144.0,False,233.37,281.83,0.0,,9608.82,5352,False,0
75044d,MAS3    ,Malaysia,1775071754.0,1775071754,87.2909,20.3923,12496.8,False,264.26,132.95,0.0,,13098.78,4650,False,0
8966bc,ETD1X7  ,United Arab Emirates,1775071515.0,1775071516,70.0468,18.0249,10050.78,False,250.78,116.04,0.0,,10530.84,,False,0
75044a,MAS20   ,Malaysia,1775071753.0,1775071753,87.5027,18.6103,10972.8,False,242.29,315.69,0.0,,11551.92,2161,False,0
750458,AXM8    ,Malaysia,1775071754.0,1775071754,78.659,7.7605,9867.9,False,240.22,106.81,3.9,,10424.16,,False,0
750422,MXD206  ,Malaysia,1775071754.0,1775071754,85.9443,21.9017,11277.6,False,250.19,141.76,-0.33,,11833.86,0577,False,0
485e2d,KLM871  ,Kingdom of the Netherlands,1775071749.0,1775071749,74.4605,31.3663,11887.2,False,266.61,102.48,0.0,,12214.86,,False,0
507c49,UZB534  ,Uzbekistan,1775071754.0,1775071754,82.2568,25.3879,10363.2,False,212.55,318.83,0.33,,10797.54,6140,False,0
